STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,FORMATTED_ADDRESS
56171099999,A-BA,1957-07-02,1964-12-31,null,CH,32.917,101.7,3170,中国四川省阿坝藏族羌族自治州阿坝县
53523099999,A-LU-CH'IH-LAO-KA,1979-06-05,1981-05-04,null,CH,39.883,108,1372,中国内蒙古自治区鄂尔多斯市杭锦旗
53192099999,ABAG QI,1956-08-20,2020-04-07,null,CH,44.0166666,115,1147.7,中国内蒙古自治区锡林郭勒盟阿巴嘎旗
50468099999,AIHUI,1961-11-01,2020-04-07,null,CH,50.25,127.45,166,中国黑龙江省黑河市爱辉区
51711099999,AKQI,1957-07-01,2020-04-07,null,CH,40.9333333,78.45,1986,中国新疆维吾尔自治区克孜勒苏柯尔克孜自治州阿合奇县
51730099999,ALAR,1962-03-28,2020-04-07,null,CH,40.5,81.05,1013,中国新疆维吾尔自治区[]阿拉尔市
51076099999,ALTAY,1956-08-20,2020-04-07,null,CH,47.7333333,88.0833333,737,中国新疆维吾尔自治区阿勒泰地区阿勒泰市
53602099999,ALXA ZUOQI/BAYAN HO,1962-03-28,1997-04-17,null,CH,38.833,105.533,1500,中国内蒙古自治区阿拉善盟阿拉善左旗
56007099999,AMDO NORTHEAST,1962-01-04,1962-03-31,null,CH,33.417,92.833,4648,中国青海省玉树藏族自治州杂多县
58648099999,AN-REN,1981-12-20,1981-12-20,null,CH,28.05,119.333,274,中国浙江省丽水市龙泉市
52424099999,AN-XI,1957-07-01,1998-02-23,null,CH,40.5,96,1177,中国甘肃省酒泉市瓜州县
50854099999,ANDA,1956-08-20,2020-04-07,null,CH,46.3833333,125.3166666,150,中国黑龙江省绥化市安达市
51848099999,ANDIR,1962-03-28,1998-12-31,null,CH,37.933,83.65,1264,中国新疆维吾尔自治区和田地区民丰县
57245099999,ANKANG,1956-08-20,2020-04-07,null,CH,32.7166666,109.0333333,291,中国陕西省安康市汉滨区
58424099999,ANQING,1956-08-20,2020-04-07,null,CH,30.6166666,116.9666667,63.2,中国安徽省安庆市宜秀区
54339099999,ANSHAN,1957-12-02,2002-06-15,null,CH,41.133,122.983,17,中国辽宁省鞍山市铁西区
57806099999,ANSHUN,1961-12-31,1999-02-02,null,CH,26.267,105.967,1402,中国贵州省安顺市西秀区
57574099999,ANXIANG,1959-11-01,1999-12-23,null,CH,29.433,112.183,28,中国湖南省常德市安乡县
53898099999,ANYANG,1957-12-02,2020-04-07,null,CH,36.05,114.1333333,195.7,中国河南省安阳市龙安区
74933899999,AO-CHIA-CHANG NORTH,1945-01-31,1945-08-31,null,CH,31.117,104,500,中国四川省成都市彭州市
54498099999,APPROXIMATE LOCALE,1979-06-19,1982-02-14,null,CH,40.117,124.333,0,中国辽宁省丹东市振安区
52268099999,APPROXIMATE LOCALE,1980-09-16,1981-02-10,null,CH,42.083,101.667,0,中国内蒙古自治区阿拉善盟额济纳旗
52523099999,APPROXIMATE LOCALE,1980-11-27,1981-06-09,null,CH,39.833,96.75,0,中国甘肃省酒泉市玉门市
57150099999,APPROXIMATE LOCALE,1979-12-28,1980-12-30,null,CH,33.483,110.433,0,中国陕西省商洛市丹凤县
57278099999,APPROXIMATE LOCALE,1981-01-17,1982-04-22,null,CH,32.317,112.633,0,中国湖北省襄阳市枣阳市
57026099999,APPROXIMATE LOCALE,1979-06-12,1981-11-26,null,CH,34.483,107.95,0,中国陕西省宝鸡市扶风县
53745099999,APPROXIMATE LOCALE,1976-01-19,1982-06-27,null,CH,37.467,109.583,0,中国陕西省榆林市子洲县
52886099999,APPROXIMATE LOCALE,1974-03-01,1984-11-29,null,CH,36.567,103.7,1951,中国甘肃省兰州市皋兰县
52958099999,APPROXIMATE LOCALE,1974-09-18,1982-01-23,null,CH,35.267,100.65,0,中国青海省海南藏族自治州同德县
52947099999,APPROXIMATE LOCALE,1984-08-11,1985-02-06,null,CH,35.167,98.75,0,中国青海省果洛藏族自治州玛多县
57982099999,APPROXIMATE LOCALE,1975-08-18,1985-04-12,null,CH,25.833,113.5,0,中国湖南省郴州市资兴市
57367099999,APPROXIMATE LOCALE,1974-12-02,1974-12-02,null,CH,31.167,111.167,0,中国湖北省宜昌市夷陵区
57445099999,APPROXIMATE LOCALE,1974-02-10,1974-05-02,null,CH,30.6,109.533,0,中国湖北省恩施土家族苗族自治州恩施市
59311099999,APPROXIMATE LOCALE,1974-07-16,1975-10-19,null,CH,23.767,116.017,0,中国广东省梅州市丰顺县
57716099999,APPROXIMATE LOCALE,1980-09-26,1982-10-17,null,CH,27.5,106.833,914,中国贵州省遵义市播州区
57765099999,APPROXIMATE LOCALE,1980-10-03,1988-12-02,null,CH,27.5,111.5,0,中国湖南省邵阳市新邵县
56681099999,APPROXIMATE LOCALE,1981-04-10,1981-12-27,null,CH,26.833,103.167,0,中国云南省昭通市巧家县
59853099999,APPROXIMATE LOCALE,1983-04-25,1986-07-16,null,CH,19.833,110.833,0,中国海南省[]文昌市
57913099999,APPROXIMATE LOCATIO,1981-11-24,1981-12-29,null,CH,25.833,106.833,0,中国贵州省黔南布依族苗族自治州惠水县
54757099999,APPROXIMATE LOCATIO,1977-08-29,1981-02-09,null,CH,37.167,120.167,0,中国山东省烟台市莱州市
58529099999,APPROXIMATE LOCATIO,1980-12-25,1980-12-25,null,CH,29.167,117.833,0,中国江西省上饶市婺源县
58732099999,APPROXIMATE LOCATIO,1980-11-06,1981-09-19,null,CH,27.833,118.5,0,中国福建省南平市浦城县
57802099999,APPROXIMATE LOCATIO,1980-11-19,1982-07-30,null,CH,26.833,105.5,0,中国贵州省毕节市纳雍县
51705099999,AR-TUX,1956-08-21,1997-05-13,null,CH,39.667,76.167,1494,中国新疆维吾尔自治区克孜勒苏柯尔克孜自治州阿图什市
50727099999,ARXAN,1956-08-22,2020-04-07,null,CH,47.1666666,119.9333333,997,中国内蒙古自治区兴安盟阿尔山市
52657099999,BABAO,1962-03-28,1997-05-13,null,CH,38.233,100.25,2700,中国青海省海北藏族自治州祁连县
51716099999,BACHU,1956-08-21,2020-04-07,null,CH,39.8,78.5666666,1117,中国新疆维吾尔自治区喀什地区巴楚县
50936099999,BAICHENG NORTHEAST,1956-08-21,1961-10-31,null,CH,45.633,122.85,151,中国吉林省白城市洮北区
51633099999,BAICHENG/BAY,1962-11-11,1997-05-13,null,CH,41.767,81.867,1280,中国新疆维吾尔自治区阿克苏地区拜城县
57251099999,BAIHE,1989-01-01,2000-01-05,null,CH,32.767,110.117,610,中国陕西省安康市白河县
53352099999,BAILING-MIAO,1956-08-20,2020-04-07,null,CH,41.7,110.4333333,1377,中国内蒙古自治区包头市达尔罕茂明安联合旗
55279099999,BAINGOIN,1957-07-17,2020-04-07,null,CH,31.3666666,90.0166666,4701,中国西藏自治区那曲市班戈县
59211099999,BAISE,1956-08-20,2020-04-07,null,CH,23.9,106.6,177,中国广西壮族自治区百色市右江区
53463099999,BAITA,1956-08-20,2020-04-07,null,CH,40.851422,111.824103,1083.86,中国内蒙古自治区呼和浩特市赛罕区
54476099999,BAIYANGGOU NW,1957-12-02,1959-08-29,null,CH,40.35,122.75,280,中国辽宁省营口市盖州市
59287099999,BAIYUN INTL,1945-11-30,2020-04-07,null,CH,23.392436,113.298786,15.24,中国广东省广州市花都区
51467099999,BALGUNTAY,1962-02-06,2020-04-07,null,CH,42.6666666,86.3333333,1753,中国新疆维吾尔自治区巴音郭楞蒙古自治州和静县
56441099999,BAME NORTHWEST,1962-09-07,1964-12-31,null,CH,28.883,98.583,4413,中国西藏自治区昌都市芒康县
59493099999,BAOAN INTL,1957-08-19,2020-04-07,null,CH,22.639258,113.810664,3.96,中国广东省深圳市宝安区
54602099999,BAODING,1956-08-20,2020-04-07,null,CH,38.7333333,115.4833333,17,中国河北省保定市清苑区
57016099999,BAOJI,1956-08-20,2004-12-30,null,CH,34.35,107.133,610,中国陕西省宝鸡市渭滨区
50888099999,BAOQING,1957-12-02,2020-04-07,null,CH,46.3166666,132.1833333,83,中国黑龙江省双鸭山市宝清县
56748099999,BAOSHAN,1944-03-26,2020-04-07,null,CH,25.1166666,99.1833333,1649,中国云南省保山市隆阳区
53446099999,BAOTOU,1956-08-20,1961-10-31,null,CH,40.567,109.983,940,中国内蒙古自治区包头市东河区
53446399999,BAOTOU,1956-08-20,1956-12-31,null,CH,40.559367,109.998447,1012.24,中国内蒙古自治区包头市东河区
56172099999,BARKAM,1956-08-20,2020-04-07,null,CH,31.9,102.2333333,2666,中国四川省阿坝藏族羌族自治州马尔康市
52101099999,BARKOL,1962-03-07,1997-05-13,null,CH,43.583,92.85,1584,中国新疆维吾尔自治区哈密市巴里坤哈萨克自治县
56247099999,BATANG,1956-08-20,2020-04-07,null,CH,30,99.1,2589,中国四川省甘孜藏族自治州巴塘县
54518099999,BAXIAN,1957-06-01,1997-07-20,null,CH,39.05,116.4,8,中国河北省廊坊市霸州市
52495099999,BAYAN MOD,1962-02-06,2020-04-07,null,CH,40.75,104.5,1329,中国内蒙古自治区阿拉善盟阿拉善左旗
51542099999,BAYANBULAK,1962-03-07,2020-04-07,null,CH,43.0333333,84.15,2459,中国新疆维吾尔自治区巴音郭楞蒙古自治州和静县
51288099999,BAYTIK SHAN,1961-11-01,2020-04-07,null,CH,45.3666666,90.5333333,1651,中国新疆维吾尔自治区昌吉回族自治州奇台县
57313099999,BAZHONG,1957-07-01,1998-08-21,null,CH,31.9,106.7,360,中国四川省巴中市巴州区
57014099999,BEIDAO,2005-01-01,2020-03-25,null,CH,34.57,105.87,1086,中国甘肃省天水市麦积区
59644199999,BEIHAI AIRPORT,2010-12-05,2013-12-24,null,CH,21.539444,109.293889,16,中国广西壮族自治区北海市银海区
54511099999,BEIJING - CAPITAL INTERNATIONAL AIRPORT,1945-10-31,2020-04-07,null,CH,40.080111,116.584556,35.35,中国北京市[]朝阳区
52441099999,BEISHAN (MTNS),1973-01-01,1988-12-30,null,CH,40.717,98.617,1554,中国甘肃省酒泉市金塔县
58221099999,BENGBU,1956-08-20,2020-04-07,null,CH,32.85,117.3,28,中国安徽省蚌埠市禹会区
54346099999,BENXI,1957-12-02,2020-04-07,null,CH,41.3166666,123.7833333,185,中国辽宁省本溪市明山区
56016099999,BIE-LI-XI-DU,1973-01-01,1990-01-19,null,CH,34.1,95.033,4785,中国青海省玉树藏族自治州治多县
57707099999,BIJIE,1956-08-20,2020-04-07,null,CH,27.3,105.2333333,1511,中国贵州省毕节市七星关区
56983099999,BING-YUAN-JIE,1981-06-09,1981-12-22,null,CH,23.7,103.833,1524,中国云南省文山壮族苗族自治州砚山县
54527399999,BINHAI,1981-11-25,2020-04-07,null,CH,39.124353,117.346183,3.04,中国天津市[]东丽区
31512099999,BLAGOVESCENSK,2009-08-01,2014-12-23,null,RS,50.2,127.5666666,132,中国黑龙江省黑河市爱辉区
59446099999,BOBAI,1957-08-22,2000-01-23,null,CH,22.25,109.967,121,中国广西壮族自治区玉林市博白县
51077099999,BOGUS CHINESE,1957-06-15,1957-09-29,null,CH,47.167,88.367,-999,中国新疆维吾尔自治区阿勒泰地区福海县
53652099999,BOGUS CHINESE,1980-08-20,1980-08-20,null,CH,38.983,110.6,1219,中国陕西省榆林市神木市
53681099999,BOGUS CHINESE,1980-10-23,1981-12-06,null,CH,38.717,113,792,中国山西省忻州市原平市
53578099999,BOGUS CHINESE,1979-06-12,1982-02-15,null,CH,39.3,112.417,900,中国山西省朔州市朔城区
52753099999,BOGUS CHINESE,1980-06-14,1982-02-01,null,CH,37.683,100.7,3353,中国青海省海北藏族自治州祁连县
52788099999,BOGUS CHINESE,1973-12-07,1981-11-06,null,CH,37.233,103.4,2415,中国甘肃省武威市古浪县
52907099999,BOGUS CHINESE,1980-07-05,1981-07-06,null,CH,35.167,92.833,4877,中国青海省玉树藏族自治州治多县
59858099999,BOGUS CHINESE,1974-07-01,1981-12-21,null,CH,19.25,110.483,-999,中国海南省[]琼海市
55585099999,BOGUS CHINESE,1985-06-10,1996-12-12,null,CH,29.5,90.25,-999,中国西藏自治区拉萨市尼木县
53278099999,BOIN SUM,1989-12-18,1990-07-21,null,CH,42.2,112.517,1280,中国内蒙古自治区乌兰察布市四子王旗
51330099999,BOLE/BORTALA,1962-03-28,1997-05-13,null,CH,44.917,82.067,1366,中国新疆维吾尔自治区博尔塔拉蒙古自治州博乐市
50646099999,BORDO,1957-12-02,1959-08-31,null,CH,48.483,124.85,199,中国黑龙江省齐齐哈尔市讷河市
58102099999,BOXIAN,1956-08-21,2020-04-07,null,CH,33.7833333,115.7333333,40.3,中国安徽省亳州市谯城区
57051099999,BUCHANG SOUTHEAST,1957-12-02,1959-08-28,null,CH,34.833,110.167,332,中国陕西省渭南市大荔县
54226099999,BUGT,1957-12-02,2020-04-07,null,CH,42.3333333,120.7,401,中国内蒙古自治区赤峰市敖汉旗
50632099999,BUGT,1956-08-23,2020-04-07,null,CH,48.7666666,121.9166666,739,中国内蒙古自治区呼伦贝尔市牙克石市
52679099999,CAIQI SOUTHEAST,1956-08-20,1961-10-31,null,CH,38.083,102.917,1525,中国甘肃省武威市凉州区
54858099999,CANG-KOU,1980-04-13,1980-07-15,null,CH,36.167,120.367,10,中国山东省青岛市李沧区
54745099999,CANG-SHANG,1980-09-09,1981-03-16,null,CH,37.367,119.9,1,中国山东省烟台市莱州市
54616099999,CANGZHOU,1956-08-20,1995-12-31,null,CH,38.333,116.833,11,中国河北省沧州市运河区
53868099999,CANYU NORTHEAST,1956-08-20,1961-10-31,null,CH,36.15,111.45,462,中国山西省临汾市尧都区
54483199999,CAOHEKOU,1956-08-20,1956-12-31,null,CH,40.883,123.9,235,中国辽宁省本溪市本溪满族自治县
54483099999,CAOHEKOU,1956-08-20,1989-06-30,null,CH,40.883,123.9,235,中国辽宁省本溪市本溪满族自治县
59453099999,CEN-XI,1957-08-29,1999-07-03,null,CH,22.933,110.983,243,中国广西壮族自治区梧州市岑溪市
51720099999,CH'I-LAN-TAI,1962-03-08,1997-05-13,null,CH,40.533,79.533,1158,中国新疆维吾尔自治区阿克苏地区柯坪县
57606099999,CH'IH-SHUI HO,1957-07-01,1998-08-28,null,CH,28.483,105.933,977,中国贵州省遵义市赤水市
52842099999,CHA-KA,1962-02-06,1997-12-26,null,CH,36.783,99.083,2925,中国青海省海西蒙古族藏族自治州乌兰县
74935199999,CHA-YIN-LU SOUTHWEST,1945-10-31,1947-03-31,null,CH,31.317,121.5,6,中国上海市[]杨浦区
57883099999,CHALING,1957-08-19,1998-07-02,null,CH,26.8,113.533,176,中国湖南省株洲市茶陵县
58632099999,CHANG-SHAN,1981-08-16,1981-08-18,null,CH,28.933,118.5,137,中国浙江省衢州市常山县
53929099999,CHANG-WU,1980-10-01,1998-11-13,null,CH,35.217,107.8,1219,中国陕西省咸阳市长武县
53887099999,CHANG-ZHI,1956-08-20,1961-10-31,null,CH,36.2,113.117,975,中国山西省长治市潞州区
58606099999,CHANGBEI INTL,1956-08-20,2020-04-07,null,CH,28.865,115.9,43.58,中国江西省南昌市新建区
57662099999,CHANGDE,1956-08-20,2020-04-07,null,CH,29.05,111.6833333,35,中国湖南省常德市武陵区
54049099999,CHANGLING,1956-08-23,2020-04-07,null,CH,44.25,123.9666666,190,中国吉林省松原市长岭县
57687099999,CHANGSHA,1944-02-15,2020-04-07,null,CH,28.1166666,112.7833333,120,中国湖南省长沙市岳麓区
57679099999,CHANGSHA/DATUOPU,1956-08-20,1986-12-31,null,CH,28.2,113.0833333,46,中国湖南省长沙市芙蓉区
58911099999,CHANGTING,1957-03-01,2020-04-07,null,CH,25.85,116.3666666,311,中国福建省龙岩市长汀县
58343099999,CHANGZHOU,1956-08-20,1999-08-05,null,CH,31.767,119.95,15,中国江苏省常州市天宁区
58326099999,CHAOHU WEST,1957-08-22,1961-03-14,null,CH,31.6,117.833,21,中国安徽省合肥市巢湖市
54324099999,CHAOYANG,1957-07-14,2020-04-07,null,CH,41.55,120.45,176,中国辽宁省朝阳市双塔区
54326099999,CHAOYANG AIRFIELD,1957-07-14,1991-08-14,null,CH,41.583,120.433,152,中国辽宁省朝阳市双塔区
55690099999,CHE-KU,1987-03-26,1992-12-07,null,CH,28.7,91.633,4336,中国西藏自治区山南市措美县
57144099999,CHEN-AN,1962-02-06,1998-06-20,null,CH,33.417,109.15,610,中国陕西省商洛市镇安县
57738099999,CHEN-YUAN,1956-08-20,1958-02-03,null,CH,27.05,108.4,464,中国贵州省黔东南苗族侗族自治州镇远县
54145099999,CHENG-CHIZ-T'UN,1980-08-01,1981-05-01,null,CH,43.5,123.5,183,中国吉林省四平市双辽市
57106099999,CHENG-XIAN,1956-08-23,2000-04-03,null,CH,33.75,105.75,1128,中国甘肃省陇南市成县
54423099999,CHENGDE,1956-08-20,2020-04-07,null,CH,40.9666666,117.9166666,423,中国河北省承德市双桥区
54575099999,CHENGZITAN,1957-12-02,1959-08-29,null,CH,39.5,122.5,17,中国辽宁省大连市普兰店区
57972099999,CHENZHOU,1956-08-20,2020-04-07,null,CH,25.7333333,112.9666666,368.8,中国湖南省郴州市北湖区
31371099999,CHERNJAEVO,1948-01-01,2020-04-07,null,RS,52.7833333,126,210,中国[][][]
50873099999,CHIA-MU-SSU /CHIAMUEZE,1956-08-20,1961-10-31,null,CH,46.817,130.333,80.2,中国黑龙江省佳木斯市向阳区
54218099999,CHIFENG,1956-08-20,2020-04-07,null,CH,42.3,118.8333333,567,中国内蒙古自治区赤峰市松山区
74933699999,CHING-SHUI-PU NORTH,1943-12-31,1946-10-31,null,CH,30.25,104.033,481,中国四川省眉山市仁寿县
52797099999,CHING-T'AI,1962-03-29,1997-04-03,null,CH,37.133,104.217,1402,中国甘肃省白银市景泰县
56227099999,CHING-TO EAST,1956-08-20,1957-05-30,null,CH,30.1,95.783,5108,中国西藏自治区林芝市波密县
57515099999,CHONG-QING,1956-08-20,1986-12-31,null,CH,29.517,106.483,351,中国重庆市[]九龙坡区
51526099999,CHUGIRTY,1962-03-28,1997-05-09,null,CH,42.8,80.85,2042,中国新疆维吾尔自治区伊犁哈萨克自治州昭苏县
58543099999,CHUN AN,2015-12-02,2020-04-07,null,CH,29.6166666,119.0166666,172,中国浙江省杭州市淳安县
47014099999,CHUNGGANG,1957-02-03,2020-04-07,null,KN,41.7833333,126.8833333,331,中国[][][]
56768099999,CHUXIONG,1944-02-01,2020-04-07,null,CH,25.0166666,101.5166666,1820,中国云南省楚雄彝族自治州楚雄市
58236099999,CHUZHOU EAST,1957-08-25,1961-03-14,null,CH,32.317,118.333,26,中国安徽省滁州市琅琊区
57023099999,CUI-MU,1962-03-08,1979-12-30,null,CH,34.8,107.867,914,中国陕西省宝鸡市麟游县
57328099999,DA XIAN,1956-08-20,2020-04-07,null,CH,31.2,107.5,344,中国四川省达州市达川区
57708099999,DA-FANG,1974-01-29,1982-03-14,null,CH,27.15,105.6,1520,中国贵州省毕节市大方县
54351099999,DA-HUO-FANG,1961-11-02,2001-12-28,null,CH,41.883,124.083,273,中国辽宁省抚顺市东洲区
52713099999,DA-QAIDAM,1957-06-30,2020-04-07,null,CH,37.85,95.3666666,3174,中国青海省海西蒙古族藏族自治州海西蒙古族藏族自治州直辖
59242099999,DA-WAN,1957-08-24,2000-01-23,null,CH,23.85,109.417,76,中国广西壮族自治区来宾市兴宾区
54756099999,DA-XIN-DIAN,1981-03-02,1981-03-23,null,CH,37.617,120.9,100,中国山东省烟台市蓬莱区
57506099999,DA-ZU,1979-12-11,1981-08-10,null,CH,29.633,105.767,305,中国重庆市[]大足区
56315099999,DABBA SOUTHWEST,1957-07-03,1963-12-31,null,CH,29.033,100.167,4553,中国四川省甘孜藏族自治州稻城县
58947099999,DAI-TOU,1980-10-05,1980-10-05,null,CH,25.267,119.2,37,中国福建省莆田市秀屿区
52353099999,DALAIN HOB EAST,1957-07-01,1958-05-05,null,CH,41.967,100.883,946,中国内蒙古自治区阿拉善盟额济纳旗
56751099999,DALI,1943-12-03,2020-04-07,null,CH,25.7,100.1833333,1992,中国云南省大理白族自治州大理市
52618099999,DANGCHENGWAN SOUTH,1962-03-31,1962-04-28,null,CH,39.167,94.833,3746,中国甘肃省酒泉市阿克塞哈萨克族自治县
59845099999,DANXIAN,1957-08-22,2020-04-07,null,CH,19.5166666,109.5833333,169,中国海南省儋州市[]
57960099999,DAO XIAN NORTH,1961-03-06,1961-03-06,null,CH,25.55,111.583,179,中国湖南省永州市道县
56357099999,DAOCHENG,1964-01-02,2020-04-07,null,CH,29.05,100.3,3729,中国四川省甘孜藏族自治州稻城县
57965099999,DAOXIAN,1973-01-01,1999-10-09,null,CH,25.617,111.6,152,中国湖南省永州市道县
59309099999,DAPING,1975-02-03,1975-09-16,null,CH,23.183,115.85,97,中国广东省揭阳市普宁市
56046099999,DARLAG,1956-08-21,2020-04-07,null,CH,33.75,99.65,3968,中国青海省果洛藏族自治州达日县
53487099999,DATONG,1957-12-02,2020-04-07,null,CH,40.0833333,113.4166666,1054,中国山西省大同市云州区
56167099999,DAWU,1979-07-01,2020-04-07,null,CH,30.9833333,101.1166666,2959,中国四川省甘孜藏族自治州道孚县
56462599999,DAYONG,2008-04-14,2016-06-07,null,CH,29.1333333,100.4833333,900,中国四川省甘孜藏族自治州稻城县
56144099999,DEGE,1957-07-01,2020-04-07,null,CH,31.7333333,98.5666666,3201,中国四川省甘孜藏族自治州德格县
56986099999,DEHOUJIE,1980-07-01,2000-04-03,null,CH,23.583,103.867,1423,中国云南省文山壮族苗族自治州文山市
52737099999,DELINGHA,1956-08-25,2020-04-07,null,CH,37.3666666,97.3666666,2982,中国青海省海西蒙古族藏族自治州德令哈市
56116099999,DENGQEN,1956-08-20,2020-04-07,null,CH,31.4166666,95.6,3874,中国西藏自治区昌都市丁青县
56444099999,DEQEN,1956-08-21,2020-04-07,null,CH,28.45,98.8833333,3320,中国云南省迪庆藏族自治州德钦县
55488099999,DEQEN SOUTH,1962-05-04,1962-05-04,null,CH,30.333,90.083,5304,中国西藏自治区那曲市班戈县
54714099999,DEZHOU,1956-08-20,1994-12-31,null,CH,37.433,116.317,22,中国山东省德州市德城区
54907099999,DING-TAO,1980-04-11,1980-04-11,null,CH,35.067,115.567,0,中国山东省菏泽市定陶区
54909099999,DINGTAO,1995-04-01,2020-04-07,null,CH,35.0833333,115.5166666,51,中国山东省菏泽市定陶区
51463599999,DIWOPU,1985-02-09,2020-04-07,null,CH,43.907106,87.474244,647.7,中国新疆维吾尔自治区乌鲁木齐市新市区
53543099999,DONGSHENG,1973-01-01,2020-04-07,null,CH,39.8333333,109.9833333,1459,中国内蒙古自治区鄂尔多斯市东胜区
58251099999,DONGTAI,1956-08-20,2020-04-07,null,CH,32.85,120.2833333,4,中国江苏省盐城市东台市
52836099999,DOULAN,1956-08-22,2020-04-07,null,CH,36.3,98.1,3190,中国青海省海西蒙古族藏族自治州都兰县
59037099999,DU AN,1957-08-25,1961-03-11,null,CH,24.017,108.083,162,中国广西壮族自治区河池市都安瑶族自治县
54186099999,DUNHUA,1957-12-03,2020-04-07,null,CH,43.3666666,128.2,525,中国吉林省延边朝鲜族自治州敦化市
52418099999,DUNHUANG,1956-08-23,2020-04-07,null,CH,40.15,94.6833333,1140,中国甘肃省酒泉市敦煌市
54208099999,DUOLUN,1956-08-20,2020-04-07,null,CH,42.1833333,116.4666666,1247,中国内蒙古自治区锡林郭勒盟多伦县
57922099999,DUSHAN,1945-04-30,2020-04-07,null,CH,25.8333333,107.55,971,中国贵州省黔南布依族苗族自治州独山县
52267099999,EJIN QI,1960-05-15,2020-04-07,null,CH,41.95,101.0666666,941,中国内蒙古自治区阿拉善盟额济纳旗
56385099999,EMEI SHAN,1956-08-20,2020-04-07,null,CH,29.5166666,103.3333333,3049,中国四川省乐山市峨眉山市
57448099999,EN-SHI (CHI-AFB),1981-06-07,1981-09-12,null,CH,30.3,109.483,457,中国湖北省恩施土家族苗族自治州恩施市
53195099999,ENGER SHOOTO,1957-12-02,1988-09-12,null,CH,43.383,114.45,1128,中国内蒙古自治区锡林郭勒盟苏尼特左旗
57447099999,ENSHI,1945-03-31,2020-04-07,null,CH,30.2833333,109.4666666,458,中国湖北省恩施土家族苗族自治州恩施市
53068099999,ERENHOT,1956-08-20,2020-04-07,null,CH,43.65,112,966,中国内蒙古自治区锡林郭勒盟二连浩特市
74934199999,ERH-LANG-PA NORTH,1945-02-28,1945-10-06,null,CH,32.967,107.2,518,中国陕西省汉中市城固县
57259099999,FANGXIAN,1959-11-01,2020-04-07,null,CH,32.0333333,110.7666666,435,中国湖北省十堰市房县
57348099999,FENGJIE,1956-08-20,2020-04-07,null,CH,31.0166666,109.5333333,303,中国重庆市[]奉节县
54308099999,FENGNING,1957-12-02,2020-04-07,null,CH,41.2,116.6333333,661,中国河北省承德市丰宁满族自治县
57025099999,FENGXIANG,2005-08-12,2020-04-07,null,CH,34.5166666,107.3833333,781,中国陕西省宝鸡市凤翔区
58502099999,FENLU SOUTHEAST,1956-08-20,1963-12-21,null,CH,29.75,115.917,31,中国湖北省黄冈市黄梅县
57483099999,FENSUIZUI NORTH,1957-08-24,1961-03-14,null,CH,30.65,113.65,30,中国湖北省孝感市汉川市
54929099999,FEZXZAN,1998-03-01,2020-04-07,null,CH,35.25,117.95,120,中国山东省临沂市费县
59087099999,FOGANG,1957-08-22,2020-04-07,null,CH,23.8833333,113.5166666,68,中国广东省清远市佛冈县
69253499999,FORT CAMPBELL / TEST,1987-05-01,2006-03-05,KY,US,36.6666666,87.5,114,中国新疆维吾尔自治区巴音郭楞蒙古自治州且末县
57522099999,FOU-LING,1962-05-04,1998-09-21,null,CH,29.717,107.4,275,中国重庆市[]涪陵区
58754099999,FUDING,1956-08-20,2020-04-07,null,CH,27.3333333,120.2,38,中国福建省宁德市福鼎市
51068099999,FUHAI/BURULTOKAY,1962-04-03,1997-05-09,null,CH,47.1,87.383,472,中国新疆维吾尔自治区阿勒泰地区福海县
50788099999,FUJIN,1956-08-20,2020-04-07,null,CH,47.2333333,131.9833333,65,中国黑龙江省佳木斯市富锦市
51365099999,FUKANG,1962-03-28,1997-05-13,null,CH,44.15,87.983,549,中国新疆维吾尔自治区昌吉回族自治州阜康市
54284099999,FUSONG,1961-11-01,1991-08-13,null,CH,42.333,127.283,610,中国吉林省白山市抚松县
54563099999,FUXIAN/WAFANGDIAN,1957-12-02,1994-04-08,null,CH,39.633,121.983,17,中国辽宁省大连市瓦房店市
